L cm,yi cm,Story Area,stories,architectural_archetype,connection_system,xi cm,D+0.25L,Direction,soil_class,seismic_zone,Story,Wall
194.5,763.0,5302759.515700001,5,D,ATS,353.0,179334.22441252394,Y,B,1,1,3.2
122.0,11.0,5302759.515700001,5,D,ATS,3411.9999999999995,181437.31462544893,X,B,1,1,A.2
494.0,2247.0,4366070.964799999,3,Q,HD,1291.0,122367.12925425803,Y,C,3,2,H.4
205.0,878.34,2526612.8516999995,3,C,HD,2242.81,72386.60695567582,X,C,3,2,7.2
274.0,748.3,2526612.8516999995,4,C,HD,6.9,71954.28394027581,Y,A,1,3,A.2
180.0,505.3,2526612.8516999995,3,C,HD,2137.35,71954.28394027581,Y,B,1,2,M.1
122.0,313.0,5302759.515700001,5,D,HD,4271.0,181335.58357372397,Y,A,1,1,39.2
205.0,330.7,2526612.8516999995,5,C,HD,231.62,86859.04669085202,X,A,1,4,3.1
209.5,172.0,5302759.515700001,5,D,ATS,4009.000000000001,154371.06043727396,Y,A,1,5,37.1
298.0,1007.0,5302759.515700001,5,D,ATS,3252.0000000000005,178966.13461792396,Y,A,1,4,K.1
169.0,434.5,2526612.8516999995,3,C,HD,503.96,72619.67077777581,X,D,1,1,4.1
443.0,655.0,5302759.515700001,4,D,HD,665.0,149832.24535566158,X,A,1,1,G.2
364.0,806.0,5302759.515700001,3,D,HD,3393.0,149789.6605980616,X,C,1,2,H.3
194.5,763.0,5302759.515700001,4,D,HD,4036.0,135167.7485555116,Y,D,1,4,38.2
136.5,835.0,5302759.515700001,5,D,HD,508.0,182474.850285524,X,D,1,1,I.1
120.0,1183.0,5302759.515700001,4,D,HD,4271.0,149553.1810140616,Y,B,1,2,39.4
205.0,330.7,2526612.8516999995,3,C,HD,231.62,64840.02839625081,X,D,1,3,3.1
335.0,904.97,2526612.8516999995,3,C,HD,901.56,71954.28394027581,Y,B,1,2,F.2
194.5,547.0,5302759.515700001,5,D,HD,353.0,181566.864509024,Y,D,1,3,3.1
223.0,404.0,5302759.515700001,5,D,ATS,1297.0,181633.458309674,Y,C,3,4,9.1
149.0,134.0,4918759.585999998,3,P,HD,1057.0,133936.4556506393,X,B,1,2,2.2
232.0,468.0,5302759.515700001,5,D,ATS,4378.0,179227.76251852393,Y,D,1,2,40.1
324.0,1033.3,2526612.8516999995,3,C,HD,2058.16,71954.28394027581,Y,A,1,2,L.2
324.0,161.9,2526612.8516999995,4,C,HD,2338.44,72167.20772827581,Y,B,1,1,N.1
276.0,1859.0,4918759.585999998,3,P,HD,173.0,124055.89857068934,Y,B,3,3,B.4
287.0,1906.0,4366070.964799999,3,Q,HD,1745.0,111059.95374720804,Y,A,1,3,J.5
307.0,1000.0,5302759.515700001,5,D,HD,2497.0,180573.70921732395,Y,D,1,4,25.2
162.0,1617.0000000000002,4366070.964799999,5,Q,ATS,81.0,145857.2737613641,X,C,1,2,8.1
265.0,947.0,5302759.515700001,4,D,HD,262.0,151252.2023486116,X,B,3,2,J.1
120.0,1202.1,2526612.8516999995,5,C,ATS,2074.01,88052.26081865202,X,D,1,2,9.2
127.0,1079.42,2526612.8516999995,3,C,HD,1577.27,72129.94606537581,X,C,1,2,8.2
324.0,175.7,2526612.8516999995,5,C,HD,2058.16,87902.42438345202,Y,A,3,2,L.1
324.0,1047.1,2526612.8516999995,4,C,HD,136.08,72055.4227395758,Y,A,1,2,B.2
352.0,877.0,4366070.964799999,3,Q,HD,360.0,111059.95374720804,X,D,1,3,6.2
287.0,363.0,5302759.515700001,3,D,HD,2685.0,149789.6605980616,X,C,1,2,D.3
799.0,400.0,4918759.585999998,4,P,HD,1297.0,134133.41015453934,Y,B,1,2,H.1
563.25,655.0,5302759.515700001,5,D,HD,2476.0,181026.96852712397,X,B,1,2,G.5
136.5,835.0,5302759.515700001,5,D,ATS,1446.0,186845.22126802395,X,C,3,1,I.2
158.0,565.0,5302759.515700001,4,D,HD,3000.0,150188.89270056158,Y,B,3,3,31.2
120.0,1254.0,5302759.515700001,4,D,HD,167.0,150119.69246946156,X,C,1,2,L.1
289.0,588.0,4366070.964799999,3,Q,HD,1393.0,123559.48274865805,Y,B,3,1,I.1
288.0,363.0,4366070.964799999,5,Q,ATS,328.0,144385.4733575641,X,A,1,2,3.1
287.0,363.0,5302759.515700001,4,D,HD,2206.0,135497.78042691157,Y,B,3,4,D.2
287.0,1865.0,4918759.585999998,6,P,ATS,1409.0,161868.83609514622,Y,D,1,1,I.4
285.0,1101.0,5302759.515700001,5,D,HD,1836.0,180850.51014172396,Y,C,1,2,15.1
194.5,763.0,5302759.515700001,5,D,ATS,2285.0,178966.13461792396,Y,D,1,4,21.1
149.0,134.0,4918759.585999998,4,P,HD,1057.0,123890.88263498934,X,D,1,4,2.2
120.0,6.9,2526612.8516999995,5,C,ATS,400.51,88428.32370485202,X,B,3,2,1.1
158.0,745.0,5302759.515700001,3,D,HD,565.0,135167.7485555116,Y,D,1,3,5.3
190.0,1215.0,5302759.515700001,5,D,ATS,3564.0,179227.76251852393,Y,D,1,2,35.2
136.5,475.0,5302759.515700001,3,D,HD,3881.0,135167.7485555116,X,A,3,3,E.4
388.0,892.38,2526612.8516999995,3,C,HD,1090.36,71954.28394027581,Y,B,1,2,G.2
162.0,655.0,4366070.964799999,5,Q,HD,1837.0,145574.0417639641,X,A,3,3,4.4
287.0,363.0,5302759.515700001,3,D,HD,2206.0,149789.6605980616,X,C,1,2,D.2
725.0,2132.0,4366070.964799999,4,Q,HD,959.0,121646.86288815804,Y,A,1,1,F.2
338.0,1040.2,2526612.8516999995,6,C,ATS,581.56,86507.72244065201,Y,B,3,5,E.4
288.0,363.0,4366070.964799999,5,Q,ATS,1590.0,144339.08379356412,X,B,1,2,3.2
292.0,498.00000000000006,5302759.515700001,5,D,ATS,2446.0,178966.13461792396,Y,B,1,4,24.1
494.0,2247.0,4366070.964799999,4,Q,HD,627.0,121258.27697505803,Y,B,1,2,D.4
205.0,330.7,2526612.8516999995,3,C,HD,231.62,72849.71619457581,X,D,3,2,3.1
352.0,877.0,4366070.964799999,3,Q,HD,1558.0,121928.98690725803,X,D,3,2,6.5
120.0,1254.0,5302759.515700001,5,D,HD,167.0,179772.98159512397,Y,B,1,4,L.1
324.0,175.7,2526612.8516999995,4,C,HD,2058.16,72055.4227395758,Y,A,1,2,L.1
194.5,547.0,5302759.515700001,3,D,HD,353.0,149936.44383246158,Y,B,1,1,3.1
152.0,988.0,4918759.585999998,5,P,ATS,1247.0,157736.74357824624,X,B,1,3,5.2
285.0,1101.0,5302759.515700001,5,D,ATS,1836.0,178966.13461792396,Y,B,1,3,15.1
777.0,2332.0,4918759.585999998,5,P,ATS,971.0,158141.29877544625,Y,B,1,1,F.2
180.0,505.3,2526612.8516999995,5,C,ATS,2137.35,74192.42165052702,Y,B,3,5,M.1
352.0,1617.0000000000002,4366070.964799999,5,Q,ATS,360.0,148285.4979086641,X,C,3,3,8.2
120.0,56.00000000000001,5302759.515700001,5,D,HD,1941.0,154706.41540337398,Y,C,1,5,B.3
285.0,209.0,5302759.515700001,5,D,HD,2339.0,180850.51014172396,Y,C,1,2,23.1
307.0,1090.0,5302759.515700001,5,D,HD,565.0,180243.677345924,Y,A,1,3,5.4
120.0,1183.0,5302759.515700001,3,D,HD,118.0,149182.82780226163,Y,A,1,2,2.4
180.0,505.3,2526612.8516999995,5,C,HD,2137.35,87614.92613825202,Y,B,1,1,M.1
120.0,1254.0,5302759.515700001,5,D,ATS,2099.0,179059.68690532394,Y,B,3,4,L.5
762.0,1247.0,4366070.964799999,5,Q,ATS,1165.0,126200.3185371141,Y,B,1,5,G.1
162.0,1839.0,4366070.964799999,5,Q,ATS,81.0,144646.30499786412,X,C,1,1,10.1
194.5,763.0,5302759.515700001,5,D,ATS,2285.0,178966.13461792396,Y,A,3,3,21.1
158.0,565.0,5302759.515700001,4,D,HD,3000.0,151205.37060276157,Y,D,1,2,31.2
307.0,221.0,5302759.515700001,4,D,HD,565.0,149789.6605980616,Y,A,3,3,5.1
307.0,221.0,5302759.515700001,5,D,HD,3824.0,154706.41540337398,Y,A,1,5,36.1
642.0,736.0,4366070.964799999,4,Q,HD,959.0,123601.28941725804,X,B,3,1,5.1
205.0,878.34,2526612.8516999995,4,C,HD,2242.81,71975.57631907582,X,A,1,2,7.2
762.0,1247.0,4366070.964799999,5,Q,ATS,1165.0,144264.5604677641,Y,B,1,4,G.1
162.0,877.0,4366070.964799999,5,Q,ATS,1837.0,144621.58206836408,X,B,1,3,6.6
120.0,1254.0,5302759.515700001,5,D,ATS,2448.0,179620.22747032394,Y,C,1,4,L.6
120.0,1254.0,5302759.515700001,4,D,HD,167.0,151019.2954737616,X,D,1,1,L.1
338.0,1932.0,4918759.585999998,5,P,ATS,353.0,139764.76143009623,Y,D,1,5,8.2
120.0,11.0,4366070.964799999,5,Q,ATS,222.00000000000003,144264.5604677641,Y,B,1,4,1.1
287.0,856.0,4918759.585999998,5,P,ATS,1409.0,157893.81198804625,Y,B,3,4,I.1
136.5,475.0,5302759.515700001,3,D,HD,3881.0,149512.8596736616,X,B,1,2,E.4
335.0,304.03,2526612.8516999995,5,C,ATS,1572.96,86550.30719825202,Y,B,1,4,J.1
190.0,95.0,5302759.515700001,5,D,HD,825.0,154706.41540337398,Y,A,1,5,6.1
152.0,988.0,4918759.585999998,4,P,HD,1247.0,134239.87204853934,X,D,1,3,5.2
190.0,95.0,5302759.515700001,5,D,HD,3564.0,181664.94363082395,Y,C,1,1,35.1
120.0,11.0,4366070.964799999,5,Q,HD,1696.0,126413.24232511412,Y,B,1,5,1.4
209.5,172.0,5302759.515700001,5,D,ATS,4009.000000000001,179059.68690532394,Y,D,1,3,37.1
338.0,788.0,4918759.585999998,5,P,ATS,1589.0,157736.74357824624,X,A,3,3,4.4
149.0,2586.0,4918759.585999998,4,P,HD,886.0,134239.87204853934,X,D,1,3,10.1
330.0,1839.0,4366070.964799999,5,Q,HD,349.0,144690.40804376412,Y,A,1,4,10.2
285.0,1101.0,5302759.515700001,5,D,ATS,1836.0,182878.5745446739,Y,D,1,1,15.1
265.0,363.0,5302759.515700001,5,D,ATS,4127.0,179059.68690532394,X,A,1,2,D.4
274.0,460.7,2526612.8516999995,6,C,ATS,2467.61,87473.50727075202,Y,B,3,1,O.1
364.0,806.0,5302759.515700001,4,D,HD,3393.0,149789.6605980616,X,A,1,1,H.3
232.0,842.0,5302759.515700001,5,D,ATS,4378.0,180466.83701332397,Y,A,3,2,40.2
149.0,134.0,4918759.585999998,5,P,HD,886.0,139929.7773657962,X,A,1,5,2.1
335.0,304.03,2526612.8516999995,4,C,HD,901.56,72055.4227395758,Y,A,1,2,F.1
162.0,1932.0,4918759.585999998,6,P,ATS,81.0,161868.83609514622,X,D,1,1,8.1
338.0,788.0,4918759.585999998,3,P,HD,1589.0,134828.65018523936,X,C,1,1,4.4
471.0,1052.0,5302759.515700001,5,D,ATS,3411.9999999999995,178966.13461792396,Y,A,3,2,34.2
136.5,835.0,5302759.515700001,5,D,ATS,2440.0,179153.23919272394,X,B,3,3,I.3
149.0,134.0,4918759.585999998,6,P,ATS,886.0,158711.08182834624,X,D,1,3,2.1
494.0,247.00000000000003,4366070.964799999,5,Q,ATS,1291.0,126200.3185371141,Y,A,1,5,H.1
169.0,434.5,2526612.8516999995,5,C,ATS,1970.56,88650.04487525202,X,D,1,1,4.2
388.0,892.38,2526612.8516999995,5,C,HD,1090.36,87556.37209655202,Y,A,3,2,G.2
274.0,748.3,2526612.8516999995,5,C,ATS,2467.61,87696.51847355202,Y,D,3,3,O.2
127.0,1079.42,2526612.8516999995,6,C,ATS,1577.27,87473.50727075202,X,B,3,1,8.2
200.0,1249.0,4918759.585999998,5,P,ATS,533.0,158141.29877544625,Y,C,1,1,C.2
338.0,1932.0,4918759.585999998,5,P,ATS,353.0,158737.98500124624,X,C,1,3,8.2
136.5,475.0,5302759.515700001,5,D,ATS,508.0,185450.57045662391,X,D,3,2,E.1
171.0,11.0,4366070.964799999,5,Q,ATS,1448.0,126200.3185371141,Y,A,3,5,1.3
289.0,1906.0,4366070.964799999,4,Q,HD,525.0,121134.32750865804,Y,B,1,3,C.2
292.0,498.00000000000006,5302759.515700001,5,D,ATS,2446.0,179153.23919272394,Y,C,1,2,24.1
122.0,313.0,5302759.515700001,5,D,ATS,4271.0,179059.68690532394,Y,A,1,2,39.2
799.0,400.0,4918759.585999998,5,P,HD,1297.0,139929.7773657962,Y,B,1,5,H.1
171.0,11.0,4366070.964799999,5,Q,ATS,470.0,126200.3185371141,Y,A,1,5,1.2
265.0,947.0,5302759.515700001,3,D,HD,262.0,151381.03272786157,X,D,1,1,J.1
276.0,861.0,4918759.585999998,5,P,ATS,173.0,160563.93815319624,Y,C,3,3,B.2
152.0,1732.0,4918759.585999998,5,P,ATS,1243.0,158146.69610244624,X,B,3,3,7.2
195.0,898.0,4366070.964799999,5,Q,HD,1745.0,126413.24232511412,Y,A,1,5,J.3
126.0,877.0,4366070.964799999,5,Q,HD,1239.0,126413.24232511412,Y,A,1,5,6.4
195.0,898.0,4366070.964799999,5,Q,HD,1745.0,126413.24232511412,Y,C,1,5,J.3
307.0,1088.0,5302759.515700001,5,D,ATS,1389.0,180743.63793772392,Y,A,3,1,10.2
209.5,1138.0,5302759.515700001,3,D,HD,1574.0,149789.6605980616,Y,A,3,2,12.1
232.0,842.0,5302759.515700001,5,D,ATS,11.0,179334.22441252394,Y,B,1,1,1.2
799.0,2321.0,4918759.585999998,3,P,HD,645.0,123890.88263498934,Y,B,1,3,D.2
122.0,997.0,5302759.515700001,5,D,ATS,4271.0,183097.018558574,Y,B,3,4,39.3
324.0,161.9,2526612.8516999995,3,C,HD,2338.44,73613.04291907582,Y,D,3,1,N.1
172.0,1833.0,4366070.964799999,5,Q,ATS,1291.0,126200.3185371141,Y,B,1,5,H.3
799.0,400.0,4918759.585999998,4,P,HD,1297.0,123890.88263498934,Y,A,3,4,H.1
284.0,2578.0,4918759.585999998,6,P,ATS,173.0,162209.7433295462,Y,B,3,1,B.5
335.0,304.03,2526612.8516999995,5,C,ATS,901.56,87031.955009152,Y,D,1,4,F.1
540.0,604.5,2526612.8516999995,3,C,HD,2204.51,65116.82932065081,X,B,3,3,5.4
324.0,1047.1,2526612.8516999995,5,C,HD,2338.44,74346.79139682701,Y,A,1,5,N.2
120.0,56.00000000000001,5302759.515700001,3,D,HD,167.0,149182.82780226163,X,B,1,2,B.1
149.0,2586.0,4918759.585999998,6,P,ATS,886.0,157683.51263124624,Y,D,1,5,10.1
120.0,56.00000000000001,5302759.515700001,5,D,HD,516.0,180994.23369862395,X,B,1,1,B.2
324.0,1047.1,2526612.8516999995,5,C,ATS,2338.44,74192.42165052702,Y,C,1,5,N.2
122.0,927.0,5302759.515700001,5,D,HD,118.0,180850.51014172396,Y,B,1,2,2.3
544.0,2154.0,4918759.585999998,5,P,ATS,272.0,158861.74656624623,Y,C,3,4,9.1
433.0,1299.0,5302759.515700001,4,D,HD,3065.0,150826.84808586157,X,C,1,2,M.2
149.0,134.0,4918759.585999998,5,P,ATS,1057.0,159105.56038764623,X,D,1,1,2.2
158.0,745.0,5302759.515700001,5,D,ATS,3824.0,154371.06043727396,Y,B,1,5,36.3
190.0,1215.0,5302759.515700001,5,D,ATS,3564.0,184609.52149402397,Y,D,3,3,35.2
335.0,904.97,2526612.8516999995,5,C,HD,901.56,86859.04669085202,Y,B,1,4,F.2
338.0,788.0,4918759.585999998,5,P,ATS,353.0,159464.71849464622,X,C,1,1,4.2
335.0,904.97,2526612.8516999995,6,C,ATS,901.56,74171.12927172701,Y,D,1,6,F.2
120.0,1254.0,5302759.515700001,5,D,ATS,2099.0,179059.68690532394,Y,B,1,4,L.5
122.0,11.0,5302759.515700001,3,D,HD,3411.9999999999995,149789.6605980616,X,A,3,2,A.2
364.0,504.0,5302759.515700001,4,D,HD,996.0,151062.00267141158,X,A,3,1,F.1
223.0,907.0,5302759.515700001,5,D,HD,3092.0,181605.39063862397,Y,B,1,1,32.1
120.0,1202.1,2526612.8516999995,5,C,ATS,2074.01,74192.42165052702,Y,D,1,5,9.2
324.0,1047.1,2526612.8516999995,4,C,HD,2338.44,71954.28394027581,Y,B,1,3,N.2
274.0,460.7,2526612.8516999995,4,C,HD,2467.61,72055.4227395758,Y,A,1,2,O.1
307.0,221.0,5302759.515700001,5,D,ATS,3824.0,181633.458309674,Y,C,3,4,36.1
190.0,1215.0,5302759.515700001,4,D,HD,2757.0,135350.9873333116,Y,C,1,4,27.1
742.0,1247.0,4366070.964799999,5,Q,HD,1547.0,145451.6105858641,X,C,1,2,7.2
326.0,806.0,5302759.515700001,5,D,HD,977.0,180462.72048892395,X,B,1,3,H.1
471.0,258.0,5302759.515700001,5,D,ATS,1480.0,179716.48581562395,Y,A,3,4,11.1
136.5,475.0,5302759.515700001,5,D,HD,3881.0,181605.39063862397,X,B,1,1,E.4
352.0,877.0,4366070.964799999,3,Q,HD,360.0,121509.17212995804,X,C,1,2,6.2
195.0,898.0,4366070.964799999,4,Q,HD,173.0,111059.95374720804,Y,B,1,4,B.3
155.0,133.0,4366070.964799999,5,Q,ATS,871.0000000000001,144275.2066571641,X,B,1,3,2.1
120.0,56.00000000000001,5302759.515700001,4,D,HD,2951.0,149182.82780226163,X,A,1,3,B.6
265.0,363.0,5302759.515700001,4,D,HD,4127.0,149832.24535566158,X,A,1,1,D.4
149.0,134.0,4918759.585999998,6,P,ATS,1057.0,160684.9061862962,X,B,3,2,2.2
324.0,175.7,2526612.8516999995,6,C,ATS,2058.16,86507.72244065201,Y,B,3,5,L.1
126.0,1617.0000000000002,4366070.964799999,5,Q,ATS,679.0,144722.2708325641,Y,A,3,4,8.3
185.0,229.17,2526612.8516999995,5,C,HD,1297.26,87268.92498275201,Y,A,1,2,H.1
190.0,1215.0,5302759.515700001,5,D,ATS,3564.0,179174.53157152396,Y,B,3,2,35.2
274.0,460.7,2526612.8516999995,4,C,HD,2467.61,64840.02839625081,Y,B,3,4,O.1
120.0,56.00000000000001,5302759.515700001,5,D,ATS,167.0,179600.37914752393,X,B,3,1,B.1
352.0,198.0,4366070.964799999,5,Q,HD,1745.0,145451.6105858641,Y,B,1,2,J.1
127.0,129.58,2526612.8516999995,5,C,ATS,1577.27,87062.37775385201,X,B,1,2,2.3
120.0,56.00000000000001,5302759.515700001,4,D,HD,516.0,150066.46152246158,X,B,1,1,B.2
335.0,304.03,2526612.8516999995,3,C,HD,901.56,64840.02839625081,Y,B,1,3,F.1
171.0,11.0,4366070.964799999,3,Q,HD,1448.0,122367.12925425803,X,C,3,2,1.3
190.0,95.0,5302759.515700001,3,D,HD,825.0,155758.39796983657,Y,D,3,1,6.1
338.0,1040.2,2526612.8516999995,3,C,HD,1892.96,71975.57631907582,Y,C,1,2,K.4
126.0,877.0,4366070.964799999,5,Q,ATS,1239.0,145266.0104282641,X,A,3,3,6.4
120.0,1202.1,2526612.8516999995,5,C,ATS,2074.01,86944.85752505201,X,A,1,2,9.2
190.0,95.0,5302759.515700001,5,D,HD,1632.0,155036.44727477396,Y,B,3,5,14.1
276.0,1859.0,4918759.585999998,5,P,HD,173.0,139929.7773657962,Y,A,3,5,B.4
190.0,95.0,5302759.515700001,5,D,ATS,1632.0,154371.06043727396,Y,A,3,5,14.1
287.0,588.0,4366070.964799999,5,Q,ATS,173.0,145532.4553274641,Y,B,1,2,B.2
122.0,313.0,5302759.515700001,4,D,HD,4271.0,135167.7485555116,Y,C,1,4,39.2
120.0,1254.0,5302759.515700001,5,D,HD,4230.0,180243.677345924,X,B,1,3,L.8
180.0,505.3,2526612.8516999995,3,C,HD,337.16,72994.59209617581,Y,D,3,1,C.1
352.0,877.0,4366070.964799999,4,Q,HD,1558.0,111059.95374720804,Y,C,1,4,6.5
120.0,56.00000000000001,5302759.515700001,3,D,HD,167.0,149182.82780226163,X,A,3,2,B.1
270.0,11.0,4918759.585999998,4,P,HD,439.0,123890.88263498934,X,D,1,4,1.1
265.0,363.0,5302759.515700001,3,D,HD,262.0,153169.1788545616,X,C,3,1,D.1
209.5,172.0,5302759.515700001,5,D,ATS,2815.0,179815.00264852395,Y,D,1,4,29.1
162.0,1839.0,4366070.964799999,4,Q,HD,1837.0,121646.86288815804,X,A,1,1,10.4
470.0,788.0,4918759.585999998,5,P,ATS,971.0,139732.82286189622,Y,C,3,5,4.3
544.0,2154.0,4918759.585999998,3,P,HD,1670.0,134940.90584513935,X,B,3,2,9.4
127.0,1079.42,2526612.8516999995,3,C,HD,897.24,72278.99271697582,X,D,1,1,8.1
570.0,1360.0,4918759.585999998,5,P,ATS,1473.0,157864.49785104624,X,A,1,2,6.2
120.0,1254.0,5302759.515700001,5,D,HD,1787.0,179772.98159512397,Y,B,1,4,L.4
194.5,547.0,5302759.515700001,5,D,ATS,4036.0,184609.52149402397,Y,D,3,3,38.1
324.0,1033.3,2526612.8516999995,5,C,ATS,416.35,86812.29118325202,Y,D,1,2,D.2
120.0,127.0,5302759.515700001,3,D,HD,118.0,151936.3714910866,Y,D,3,1,2.1
120.0,56.00000000000001,5302759.515700001,5,D,ATS,4222.0,181633.458309674,Y,C,3,4,B.8
563.25,655.0,5302759.515700001,5,D,HD,1350.0,179636.844550124,Y,B,1,4,G.3
190.0,95.0,5302759.515700001,5,D,ATS,1632.0,186408.72750262392,Y,C,3,1,14.1
200.0,1471.0,4918759.585999998,5,P,HD,1409.0,158790.71632884623,Y,B,1,2,I.3
762.0,1247.0,4366070.964799999,3,Q,HD,753.0,121066.64556585804,Y,A,1,2,E.1
152.0,988.0,4918759.585999998,6,P,ATS,695.0,160684.9061862962,X,B,3,2,5.1
149.0,134.0,4918759.585999998,5,P,ATS,886.0,159783.36735984622,X,D,1,2,2.1
265.0,947.0,5302759.515700001,5,D,ATS,4127.0,178966.13461792396,Y,A,3,4,J.4
200.0,1471.0,4918759.585999998,5,P,ATS,1409.0,158141.29877544625,Y,B,1,1,I.3
126.0,1617.0000000000002,4366070.964799999,3,Q,HD,679.0,111059.95374720804,X,A,3,3,8.3
209.5,1138.0,5302759.515700001,3,D,HD,4009.000000000001,149789.6605980616,Y,A,3,2,37.2
544.0,2154.0,4918759.585999998,5,P,ATS,1670.0,139770.08452479623,Y,B,1,5,9.4
171.0,2483.0,4366070.964799999,4,Q,HD,1448.0,111059.95374720804,Y,A,1,4,13.3
265.0,363.0,5302759.515700001,5,D,HD,4127.0,179636.844550124,Y,A,1,4,D.4
156.0,519.6,2526612.8516999995,4,C,HD,1892.96,64840.02839625081,Y,B,1,4,K.2
287.0,947.0,5302759.515700001,4,D,HD,2183.0,149512.8596736616,X,C,1,3,J.3
200.0,1249.0,4918759.585999998,5,P,ATS,1409.0,158141.29877544625,Y,A,1,1,I.2
330.0,1839.0,4366070.964799999,3,Q,HD,349.0,124742.72743095804,X,D,3,1,10.2
284.0,142.0,4918759.585999998,5,P,ATS,1769.0000000000002,157864.49785104624,Y,A,1,2,J.1
120.0,6.9,2526612.8516999995,4,C,HD,400.51,72055.4227395758,X,A,3,3,1.1
122.0,313.0,5302759.515700001,4,D,HD,118.0,151062.00267141158,Y,A,3,1,2.2
158.0,565.0,5302759.515700001,4,D,HD,565.0,150396.49339386157,Y,D,1,2,5.2
307.0,1090.0,5302759.515700001,5,D,HD,3824.0,182474.850285524,Y,D,1,1,36.4
799.0,2321.0,4918759.585999998,3,P,HD,1297.0,135085.90372793935,Y,C,3,2,H.2
209.5,172.0,5302759.515700001,5,D,ATS,4009.000000000001,154371.06043727396,Y,A,1,5,37.1
364.0,504.0,5302759.515700001,5,D,ATS,996.0,179716.48581562395,Y,A,3,4,F.1
120.0,11.0,4366070.964799999,4,Q,HD,222.00000000000003,121258.27697505803,X,D,1,3,1.1
158.0,565.0,5302759.515700001,5,D,ATS,3824.0,181443.1485164239,Y,C,1,1,36.2
224.0,2154.0,4918759.585999998,6,P,ATS,1094.0,157936.39674564623,Y,D,1,4,9.3
194.5,547.0,5302759.515700001,4,D,HD,2788.0,149225.4125598616,Y,A,1,2,28.1
190.0,1215.0,5302759.515700001,5,D,ATS,2757.0,179227.76251852393,Y,D,1,2,27.1
194.5,763.0,5302759.515700001,4,D,HD,1601.0000000000002,150396.49339386157,Y,C,1,1,13.1
120.0,56.00000000000001,5302759.515700001,4,D,HD,1941.0,150119.69246946156,X,C,1,2,B.3
172.0,1833.0,4366070.964799999,4,Q,HD,1291.0,122341.65041895804,Y,B,3,2,H.3
289.0,1906.0,4366070.964799999,3,Q,HD,525.0,124093.52735655804,Y,C,3,1,C.2
200.0,1249.0,4918759.585999998,3,P,HD,1409.0,123890.88263498934,Y,B,1,3,I.2
