soil_class,Direction,Story Area,stories,D+0.25L,L cm,architectural_archetype,connection_system,xi cm,seismic_zone,Wall,Story,yi cm
C,Y,4366070.964799999,3,122367.12925425803,494.0,Q,HD,1291.0,3,H.4,2,2247.0
C,X,2526612.8516999995,3,72386.60695567582,205.0,C,HD,2242.81,3,7.2,2,878.34
A,Y,2526612.8516999995,4,71954.28394027581,274.0,C,HD,6.9,1,A.2,3,748.3
B,Y,2526612.8516999995,3,71954.28394027581,180.0,C,HD,2137.35,1,M.1,2,505.3
A,Y,5302759.515700001,5,181335.58357372397,122.0,D,HD,4271.0,1,39.2,1,313.0
A,X,2526612.8516999995,5,86859.04669085202,205.0,C,HD,231.62,1,3.1,4,330.7
A,Y,5302759.515700001,5,154371.06043727396,209.5,D,ATS,4009.000000000001,1,37.1,5,172.0
A,X,5302759.515700001,5,178966.13461792396,298.0,D,ATS,3252.0000000000005,1,K.1,4,1007.0
D,X,2526612.8516999995,3,72619.67077777581,169.0,C,HD,503.96,1,4.1,1,434.5
A,X,5302759.515700001,4,149832.24535566158,443.0,D,HD,665.0,1,G.2,1,655.0
C,X,5302759.515700001,3,149789.6605980616,364.0,D,HD,3393.0,1,H.3,2,806.0
D,Y,5302759.515700001,4,135167.7485555116,194.5,D,HD,4036.0,1,38.2,4,763.0
D,X,5302759.515700001,5,182474.850285524,136.5,D,HD,508.0,1,I.1,1,835.0
B,Y,5302759.515700001,4,149553.1810140616,120.0,D,HD,4271.0,1,39.4,2,1183.0
D,X,2526612.8516999995,3,64840.02839625081,205.0,C,HD,231.62,1,3.1,3,330.7
B,Y,2526612.8516999995,3,71954.28394027581,335.0,C,HD,901.56,1,F.2,2,904.97
D,Y,5302759.515700001,5,181566.864509024,194.5,D,HD,353.0,1,3.1,3,547.0
C,Y,5302759.515700001,5,181633.458309674,223.0,D,ATS,1297.0,3,9.1,4,404.0
B,X,4918759.585999998,3,133936.4556506393,149.0,P,HD,1057.0,1,2.2,2,134.0
D,Y,5302759.515700001,5,179227.76251852393,232.0,D,ATS,4378.0,1,40.1,2,468.0
A,Y,2526612.8516999995,3,71954.28394027581,324.0,C,HD,2058.16,1,L.2,2,1033.3
B,Y,2526612.8516999995,4,72167.20772827581,324.0,C,HD,2338.44,1,N.1,1,161.9
B,Y,4918759.585999998,3,124055.89857068934,276.0,P,HD,173.0,3,B.4,3,1859.0
A,Y,4366070.964799999,3,111059.95374720804,287.0,Q,HD,1745.0,1,J.5,3,1906.0
D,Y,5302759.515700001,5,180573.70921732395,307.0,D,HD,2497.0,1,25.2,4,1000.0
C,X,4366070.964799999,5,145857.2737613641,162.0,Q,ATS,81.0,1,8.1,2,1617.0000000000002
B,X,5302759.515700001,4,151252.2023486116,265.0,D,HD,262.0,3,J.1,2,947.0
D,X,2526612.8516999995,5,88052.26081865202,120.0,C,ATS,2074.01,1,9.2,2,1202.1
C,X,2526612.8516999995,3,72129.94606537581,127.0,C,HD,1577.27,1,8.2,2,1079.42
A,Y,2526612.8516999995,5,87902.42438345202,324.0,C,HD,2058.16,3,L.1,2,175.7
A,Y,2526612.8516999995,4,72055.4227395758,324.0,C,HD,136.08,1,B.2,2,1047.1
D,X,4366070.964799999,3,111059.95374720804,352.0,Q,HD,360.0,1,6.2,3,877.0
C,X,5302759.515700001,3,149789.6605980616,287.0,D,HD,2685.0,1,D.3,2,363.0
B,Y,4918759.585999998,4,134133.41015453934,799.0,P,HD,1297.0,1,H.1,2,400.0
B,X,5302759.515700001,5,181026.96852712397,563.25,D,HD,2476.0,1,G.5,2,655.0
C,X,5302759.515700001,5,186845.22126802395,136.5,D,ATS,1446.0,3,I.2,1,835.0
B,Y,5302759.515700001,4,150188.89270056158,158.0,D,HD,3000.0,3,31.2,3,565.0
C,X,5302759.515700001,4,150119.69246946156,120.0,D,HD,167.0,1,L.1,2,1254.0
B,Y,4366070.964799999,3,123559.48274865805,289.0,Q,HD,1393.0,3,I.1,1,588.0
A,X,4366070.964799999,5,144385.4733575641,288.0,Q,ATS,328.0,1,3.1,2,363.0
B,X,5302759.515700001,4,135497.78042691157,287.0,D,HD,2206.0,3,D.2,4,363.0
D,Y,4918759.585999998,6,161868.83609514622,287.0,P,ATS,1409.0,1,I.4,1,1865.0
C,Y,5302759.515700001,5,180850.51014172396,285.0,D,HD,1836.0,1,15.1,2,1101.0
D,Y,5302759.515700001,5,178966.13461792396,194.5,D,ATS,2285.0,1,21.1,4,763.0
D,X,4918759.585999998,4,123890.88263498934,149.0,P,HD,1057.0,1,2.2,4,134.0
B,X,2526612.8516999995,5,88428.32370485202,120.0,C,ATS,400.51,3,1.1,2,6.9
D,Y,5302759.515700001,3,135167.7485555116,158.0,D,HD,565.0,1,5.3,3,745.0
D,Y,5302759.515700001,5,179227.76251852393,190.0,D,ATS,3564.0,1,35.2,2,1215.0
A,X,5302759.515700001,3,135167.7485555116,136.5,D,HD,3881.0,3,E.4,3,475.0
B,Y,2526612.8516999995,3,71954.28394027581,388.0,C,HD,1090.36,1,G.2,2,892.38
A,X,4366070.964799999,5,145574.0417639641,162.0,Q,HD,1837.0,3,4.4,3,655.0
C,X,5302759.515700001,3,149789.6605980616,287.0,D,HD,2206.0,1,D.2,2,363.0
A,Y,4366070.964799999,4,121646.86288815804,725.0,Q,HD,959.0,1,F.2,1,2132.0
B,Y,2526612.8516999995,6,86507.72244065201,338.0,C,ATS,581.56,3,E.4,5,1040.2
B,X,4366070.964799999,5,144339.08379356412,288.0,Q,ATS,1590.0,1,3.2,2,363.0
B,Y,5302759.515700001,5,178966.13461792396,292.0,D,ATS,2446.0,1,24.1,4,498.00000000000006
B,Y,4366070.964799999,4,121258.27697505803,494.0,Q,HD,627.0,1,D.4,2,2247.0
D,X,2526612.8516999995,3,72849.71619457581,205.0,C,HD,231.62,3,3.1,2,330.7
D,X,4366070.964799999,3,121928.98690725803,352.0,Q,HD,1558.0,3,6.5,2,877.0
B,Y,5302759.515700001,5,179772.98159512397,120.0,D,HD,167.0,1,L.1,4,1254.0
A,Y,2526612.8516999995,4,72055.4227395758,324.0,C,HD,2058.16,1,L.1,2,175.7
B,Y,5302759.515700001,3,149936.44383246158,194.5,D,HD,353.0,1,3.1,1,547.0
B,X,4918759.585999998,5,157736.74357824624,152.0,P,ATS,1247.0,1,5.2,3,988.0
B,Y,5302759.515700001,5,178966.13461792396,285.0,D,ATS,1836.0,1,15.1,3,1101.0
B,Y,4918759.585999998,5,158141.29877544625,777.0,P,ATS,971.0,1,F.2,1,2332.0
B,Y,2526612.8516999995,5,74192.42165052702,180.0,C,ATS,2137.35,3,M.1,5,505.3
C,X,4366070.964799999,5,148285.4979086641,352.0,Q,ATS,360.0,3,8.2,3,1617.0000000000002
C,Y,5302759.515700001,5,154706.41540337398,120.0,D,HD,1941.0,1,B.3,5,56.00000000000001
C,Y,5302759.515700001,5,180850.51014172396,285.0,D,HD,2339.0,1,23.1,2,209.0
A,Y,5302759.515700001,5,180243.677345924,307.0,D,HD,565.0,1,5.4,3,1090.0
A,Y,5302759.515700001,3,149182.82780226163,120.0,D,HD,118.0,1,2.4,2,1183.0
B,Y,2526612.8516999995,5,87614.92613825202,180.0,C,HD,2137.35,1,M.1,1,505.3
B,X,5302759.515700001,5,179059.68690532394,120.0,D,ATS,2099.0,3,L.5,4,1254.0
B,Y,4366070.964799999,5,126200.3185371141,762.0,Q,ATS,1165.0,1,G.1,5,1247.0
C,X,4366070.964799999,5,144646.30499786412,162.0,Q,ATS,81.0,1,10.1,1,1839.0
A,Y,5302759.515700001,5,178966.13461792396,194.5,D,ATS,2285.0,3,21.1,3,763.0
D,Y,5302759.515700001,4,151205.37060276157,158.0,D,HD,3000.0,1,31.2,2,565.0
A,Y,5302759.515700001,4,149789.6605980616,307.0,D,HD,565.0,3,5.1,3,221.0
A,Y,5302759.515700001,5,154706.41540337398,307.0,D,HD,3824.0,1,36.1,5,221.0
B,X,4366070.964799999,4,123601.28941725804,642.0,Q,HD,959.0,3,5.1,1,736.0
A,X,2526612.8516999995,4,71975.57631907582,205.0,C,HD,2242.81,1,7.2,2,878.34
B,Y,4366070.964799999,5,144264.5604677641,762.0,Q,ATS,1165.0,1,G.1,4,1247.0
B,X,4366070.964799999,5,144621.58206836408,162.0,Q,ATS,1837.0,1,6.6,3,877.0
C,X,5302759.515700001,5,179620.22747032394,120.0,D,ATS,2448.0,1,L.6,4,1254.0
D,X,5302759.515700001,4,151019.2954737616,120.0,D,HD,167.0,1,L.1,1,1254.0
D,X,4918759.585999998,5,139764.76143009623,338.0,P,ATS,353.0,1,8.2,5,1932.0
B,X,4366070.964799999,5,144264.5604677641,120.0,Q,ATS,222.00000000000003,1,1.1,4,11.0
B,Y,4918759.585999998,5,157893.81198804625,287.0,P,ATS,1409.0,3,I.1,4,856.0
B,X,5302759.515700001,3,149512.8596736616,136.5,D,HD,3881.0,1,E.4,2,475.0
B,Y,2526612.8516999995,5,86550.30719825202,335.0,C,ATS,1572.96,1,J.1,4,304.03
A,Y,5302759.515700001,5,154706.41540337398,190.0,D,HD,825.0,1,6.1,5,95.0
D,X,4918759.585999998,4,134239.87204853934,152.0,P,HD,1247.0,1,5.2,3,988.0
C,Y,5302759.515700001,5,181664.94363082395,190.0,D,HD,3564.0,1,35.1,1,95.0
B,X,4366070.964799999,5,126413.24232511412,120.0,Q,HD,1696.0,1,1.4,5,11.0
D,Y,5302759.515700001,5,179059.68690532394,209.5,D,ATS,4009.000000000001,1,37.1,3,172.0
A,X,4918759.585999998,5,157736.74357824624,338.0,P,ATS,1589.0,3,4.4,3,788.0
D,X,4918759.585999998,4,134239.87204853934,149.0,P,HD,886.0,1,10.1,3,2586.0
A,X,4366070.964799999,5,144690.40804376412,330.0,Q,HD,349.0,1,10.2,4,1839.0
D,Y,5302759.515700001,5,182878.5745446739,285.0,D,ATS,1836.0,1,15.1,1,1101.0
A,X,5302759.515700001,5,179059.68690532394,265.0,D,ATS,4127.0,1,D.4,2,363.0
B,Y,2526612.8516999995,6,87473.50727075202,274.0,C,ATS,2467.61,3,O.1,1,460.7
A,X,5302759.515700001,4,149789.6605980616,364.0,D,HD,3393.0,1,H.3,1,806.0
A,Y,5302759.515700001,5,180466.83701332397,232.0,D,ATS,4378.0,3,40.2,2,842.0
A,X,4918759.585999998,5,139929.7773657962,149.0,P,HD,886.0,1,2.1,5,134.0
A,Y,2526612.8516999995,4,72055.4227395758,335.0,C,HD,901.56,1,F.1,2,304.03
D,X,4918759.585999998,6,161868.83609514622,162.0,P,ATS,81.0,1,8.1,1,1932.0
C,X,4918759.585999998,3,134828.65018523936,338.0,P,HD,1589.0,1,4.4,1,788.0
A,Y,5302759.515700001,5,178966.13461792396,471.0,D,ATS,3411.9999999999995,3,34.2,2,1052.0
B,X,5302759.515700001,5,179153.23919272394,136.5,D,ATS,2440.0,3,I.3,3,835.0
D,X,4918759.585999998,6,158711.08182834624,149.0,P,ATS,886.0,1,2.1,3,134.0
A,Y,4366070.964799999,5,126200.3185371141,494.0,Q,ATS,1291.0,1,H.1,5,247.00000000000003
D,X,2526612.8516999995,5,88650.04487525202,169.0,C,ATS,1970.56,1,4.2,1,434.5
A,Y,2526612.8516999995,5,87556.37209655202,388.0,C,HD,1090.36,3,G.2,2,892.38
D,Y,2526612.8516999995,5,87696.51847355202,274.0,C,ATS,2467.61,3,O.2,3,748.3
B,X,2526612.8516999995,6,87473.50727075202,127.0,C,ATS,1577.27,3,8.2,1,1079.42
C,Y,4918759.585999998,5,158141.29877544625,200.0,P,ATS,533.0,1,C.2,1,1249.0
C,X,4918759.585999998,5,158737.98500124624,338.0,P,ATS,353.0,1,8.2,3,1932.0
D,X,5302759.515700001,5,185450.57045662391,136.5,D,ATS,508.0,3,E.1,2,475.0
A,X,4366070.964799999,5,126200.3185371141,171.0,Q,ATS,1448.0,3,1.3,5,11.0
B,Y,4366070.964799999,4,121134.32750865804,289.0,Q,HD,525.0,1,C.2,3,1906.0
C,Y,5302759.515700001,5,179153.23919272394,292.0,D,ATS,2446.0,1,24.1,2,498.00000000000006
A,Y,5302759.515700001,5,179059.68690532394,122.0,D,ATS,4271.0,1,39.2,2,313.0
B,Y,4918759.585999998,5,139929.7773657962,799.0,P,HD,1297.0,1,H.1,5,400.0
A,X,4366070.964799999,5,126200.3185371141,171.0,Q,ATS,470.0,1,1.2,5,11.0
D,X,5302759.515700001,3,151381.03272786157,265.0,D,HD,262.0,1,J.1,1,947.0
C,Y,4918759.585999998,5,160563.93815319624,276.0,P,ATS,173.0,3,B.2,3,861.0
B,X,4918759.585999998,5,158146.69610244624,152.0,P,ATS,1243.0,3,7.2,3,1732.0
A,Y,4366070.964799999,5,126413.24232511412,195.0,Q,HD,1745.0,1,J.3,5,898.0
A,X,4366070.964799999,5,126413.24232511412,126.0,Q,HD,1239.0,1,6.4,5,877.0
C,Y,4366070.964799999,5,126413.24232511412,195.0,Q,HD,1745.0,1,J.3,5,898.0
A,Y,5302759.515700001,5,180743.63793772392,307.0,D,ATS,1389.0,3,10.2,1,1088.0
A,Y,5302759.515700001,3,149789.6605980616,209.5,D,HD,1574.0,3,12.1,2,1138.0
B,Y,5302759.515700001,5,179334.22441252394,232.0,D,ATS,11.0,1,1.2,1,842.0
B,Y,4918759.585999998,3,123890.88263498934,799.0,P,HD,645.0,1,D.2,3,2321.0
B,Y,5302759.515700001,5,183097.018558574,122.0,D,ATS,4271.0,3,39.3,4,997.0
D,Y,2526612.8516999995,3,73613.04291907582,324.0,C,HD,2338.44,3,N.1,1,161.9
B,Y,4366070.964799999,5,126200.3185371141,172.0,Q,ATS,1291.0,1,H.3,5,1833.0
A,Y,4918759.585999998,4,123890.88263498934,799.0,P,HD,1297.0,3,H.1,4,400.0
B,Y,4918759.585999998,6,162209.7433295462,284.0,P,ATS,173.0,3,B.5,1,2578.0
D,Y,2526612.8516999995,5,87031.955009152,335.0,C,ATS,901.56,1,F.1,4,304.03
B,X,2526612.8516999995,3,65116.82932065081,540.0,C,HD,2204.51,3,5.4,3,604.5
A,Y,2526612.8516999995,5,74346.79139682701,324.0,C,HD,2338.44,1,N.2,5,1047.1
B,X,5302759.515700001,3,149182.82780226163,120.0,D,HD,167.0,1,B.1,2,56.00000000000001
D,X,4918759.585999998,6,157683.51263124624,149.0,P,ATS,886.0,1,10.1,5,2586.0
B,X,5302759.515700001,5,180994.23369862395,120.0,D,HD,516.0,1,B.2,1,56.00000000000001
C,Y,2526612.8516999995,5,74192.42165052702,324.0,C,ATS,2338.44,1,N.2,5,1047.1
B,Y,5302759.515700001,5,180850.51014172396,122.0,D,HD,118.0,1,2.3,2,927.0
C,X,4918759.585999998,5,158861.74656624623,544.0,P,ATS,272.0,3,9.1,4,2154.0
C,X,5302759.515700001,4,150826.84808586157,433.0,D,HD,3065.0,1,M.2,2,1299.0
D,X,4918759.585999998,5,159105.56038764623,149.0,P,ATS,1057.0,1,2.2,1,134.0
B,Y,5302759.515700001,5,154371.06043727396,158.0,D,ATS,3824.0,1,36.3,5,745.0
D,Y,5302759.515700001,5,184609.52149402397,190.0,D,ATS,3564.0,3,35.2,3,1215.0
B,Y,2526612.8516999995,5,86859.04669085202,335.0,C,HD,901.56,1,F.2,4,904.97
C,X,4918759.585999998,5,159464.71849464622,338.0,P,ATS,353.0,1,4.2,1,788.0
D,Y,2526612.8516999995,6,74171.12927172701,335.0,C,ATS,901.56,1,F.2,6,904.97
B,X,5302759.515700001,5,179059.68690532394,120.0,D,ATS,2099.0,1,L.5,4,1254.0
A,X,5302759.515700001,3,149789.6605980616,122.0,D,HD,3411.9999999999995,3,A.2,2,11.0
A,X,5302759.515700001,4,151062.00267141158,364.0,D,HD,996.0,3,F.1,1,504.0
B,Y,5302759.515700001,5,181605.39063862397,223.0,D,HD,3092.0,1,32.1,1,907.0
D,X,2526612.8516999995,5,74192.42165052702,120.0,C,ATS,2074.01,1,9.2,5,1202.1
B,Y,2526612.8516999995,4,71954.28394027581,324.0,C,HD,2338.44,1,N.2,3,1047.1
A,Y,2526612.8516999995,4,72055.4227395758,274.0,C,HD,2467.61,1,O.1,2,460.7
C,Y,5302759.515700001,5,181633.458309674,307.0,D,ATS,3824.0,3,36.1,4,221.0
C,Y,5302759.515700001,4,135350.9873333116,190.0,D,HD,2757.0,1,27.1,4,1215.0
C,X,4366070.964799999,5,145451.6105858641,742.0,Q,HD,1547.0,1,7.2,2,1247.0
B,X,5302759.515700001,5,180462.72048892395,326.0,D,HD,977.0,1,H.1,3,806.0
A,Y,5302759.515700001,5,179716.48581562395,471.0,D,ATS,1480.0,3,11.1,4,258.0
B,X,5302759.515700001,5,181605.39063862397,136.5,D,HD,3881.0,1,E.4,1,475.0
C,X,4366070.964799999,3,121509.17212995804,352.0,Q,HD,360.0,1,6.2,2,877.0
B,Y,4366070.964799999,4,111059.95374720804,195.0,Q,HD,173.0,1,B.3,4,898.0
B,X,4366070.964799999,5,144275.2066571641,155.0,Q,ATS,871.0000000000001,1,2.1,3,133.0
A,X,5302759.515700001,4,149182.82780226163,120.0,D,HD,2951.0,1,B.6,3,56.00000000000001
A,X,5302759.515700001,4,149832.24535566158,265.0,D,HD,4127.0,1,D.4,1,363.0
B,X,4918759.585999998,6,160684.9061862962,149.0,P,ATS,1057.0,3,2.2,2,134.0
B,Y,2526612.8516999995,6,86507.72244065201,324.0,C,ATS,2058.16,3,L.1,5,175.7
A,X,4366070.964799999,5,144722.2708325641,126.0,Q,ATS,679.0,3,8.3,4,1617.0000000000002
A,Y,2526612.8516999995,5,87268.92498275201,185.0,C,HD,1297.26,1,H.1,2,229.17
B,Y,5302759.515700001,5,179174.53157152396,190.0,D,ATS,3564.0,3,35.2,2,1215.0
B,Y,2526612.8516999995,4,64840.02839625081,274.0,C,HD,2467.61,3,O.1,4,460.7
B,X,5302759.515700001,5,179600.37914752393,120.0,D,ATS,167.0,3,B.1,1,56.00000000000001
B,Y,4366070.964799999,5,145451.6105858641,352.0,Q,HD,1745.0,1,J.1,2,198.0
B,X,2526612.8516999995,5,87062.37775385201,127.0,C,ATS,1577.27,1,2.3,2,129.58
B,X,5302759.515700001,4,150066.46152246158,120.0,D,HD,516.0,1,B.2,1,56.00000000000001
B,Y,2526612.8516999995,3,64840.02839625081,335.0,C,HD,901.56,1,F.1,3,304.03
C,X,4366070.964799999,3,122367.12925425803,171.0,Q,HD,1448.0,3,1.3,2,11.0
D,Y,5302759.515700001,3,155758.39796983657,190.0,D,HD,825.0,3,6.1,1,95.0
C,Y,2526612.8516999995,3,71975.57631907582,338.0,C,HD,1892.96,1,K.4,2,1040.2
A,X,4366070.964799999,5,145266.0104282641,126.0,Q,ATS,1239.0,3,6.4,3,877.0
A,X,2526612.8516999995,5,86944.85752505201,120.0,C,ATS,2074.01,1,9.2,2,1202.1
B,Y,5302759.515700001,5,155036.44727477396,190.0,D,HD,1632.0,3,14.1,5,95.0
A,Y,4918759.585999998,5,139929.7773657962,276.0,P,HD,173.0,3,B.4,5,1859.0
A,Y,5302759.515700001,5,154371.06043727396,190.0,D,ATS,1632.0,3,14.1,5,95.0
B,Y,4366070.964799999,5,145532.4553274641,287.0,Q,ATS,173.0,1,B.2,2,588.0
C,Y,5302759.515700001,4,135167.7485555116,122.0,D,HD,4271.0,1,39.2,4,313.0
B,X,5302759.515700001,5,180243.677345924,120.0,D,HD,4230.0,1,L.8,3,1254.0
D,Y,2526612.8516999995,3,72994.59209617581,180.0,C,HD,337.16,3,C.1,1,505.3
C,X,4366070.964799999,4,111059.95374720804,352.0,Q,HD,1558.0,1,6.5,4,877.0
A,X,5302759.515700001,3,149182.82780226163,120.0,D,HD,167.0,3,B.1,2,56.00000000000001
D,X,4918759.585999998,4,123890.88263498934,270.0,P,HD,439.0,1,1.1,4,11.0
C,X,5302759.515700001,3,153169.1788545616,265.0,D,HD,262.0,3,D.1,1,363.0
D,Y,5302759.515700001,5,179815.00264852395,209.5,D,ATS,2815.0,1,29.1,4,172.0
A,X,4366070.964799999,4,121646.86288815804,162.0,Q,HD,1837.0,1,10.4,1,1839.0
C,X,4918759.585999998,5,139732.82286189622,470.0,P,ATS,971.0,3,4.3,5,788.0
B,X,4918759.585999998,3,134940.90584513935,544.0,P,HD,1670.0,3,9.4,2,2154.0
D,X,2526612.8516999995,3,72278.99271697582,127.0,C,HD,897.24,1,8.1,1,1079.42
A,X,4918759.585999998,5,157864.49785104624,570.0,P,ATS,1473.0,1,6.2,2,1360.0
B,Y,5302759.515700001,5,179772.98159512397,120.0,D,HD,1787.0,1,L.4,4,1254.0
D,Y,5302759.515700001,5,184609.52149402397,194.5,D,ATS,4036.0,3,38.1,3,547.0
D,Y,2526612.8516999995,5,86812.29118325202,324.0,C,ATS,416.35,1,D.2,2,1033.3
D,Y,5302759.515700001,3,151936.3714910866,120.0,D,HD,118.0,3,2.1,1,127.0
C,X,5302759.515700001,5,181633.458309674,120.0,D,ATS,4222.0,3,B.8,4,56.00000000000001
B,Y,5302759.515700001,5,179636.844550124,563.25,D,HD,1350.0,1,G.3,4,655.0
C,Y,5302759.515700001,5,186408.72750262392,190.0,D,ATS,1632.0,3,14.1,1,95.0
B,Y,4918759.585999998,5,158790.71632884623,200.0,P,HD,1409.0,1,I.3,2,1471.0
A,Y,4366070.964799999,3,121066.64556585804,762.0,Q,HD,753.0,1,E.1,2,1247.0
B,X,4918759.585999998,6,160684.9061862962,152.0,P,ATS,695.0,3,5.1,2,988.0
D,X,4918759.585999998,5,159783.36735984622,149.0,P,ATS,886.0,1,2.1,2,134.0
A,X,5302759.515700001,5,178966.13461792396,265.0,D,ATS,4127.0,3,J.4,4,947.0
B,Y,4918759.585999998,5,158141.29877544625,200.0,P,ATS,1409.0,1,I.3,1,1471.0
A,X,4366070.964799999,3,111059.95374720804,126.0,Q,HD,679.0,3,8.3,3,1617.0000000000002
A,Y,5302759.515700001,3,149789.6605980616,209.5,D,HD,4009.000000000001,3,37.2,2,1138.0
B,X,4918759.585999998,5,139770.08452479623,544.0,P,ATS,1670.0,1,9.4,5,2154.0
A,X,4366070.964799999,4,111059.95374720804,171.0,Q,HD,1448.0,1,13.3,4,2483.0
A,Y,5302759.515700001,5,179636.844550124,265.0,D,HD,4127.0,1,D.4,4,363.0
B,Y,2526612.8516999995,4,64840.02839625081,156.0,C,HD,1892.96,1,K.2,4,519.6
C,X,5302759.515700001,4,149512.8596736616,287.0,D,HD,2183.0,1,J.3,3,947.0
A,Y,4918759.585999998,5,158141.29877544625,200.0,P,ATS,1409.0,1,I.2,1,1249.0
D,X,4366070.964799999,3,124742.72743095804,330.0,Q,HD,349.0,3,10.2,1,1839.0
A,Y,4918759.585999998,5,157864.49785104624,284.0,P,ATS,1769.0000000000002,1,J.1,2,142.0
A,X,2526612.8516999995,4,72055.4227395758,120.0,C,HD,400.51,3,1.1,3,6.9
A,Y,5302759.515700001,4,151062.00267141158,122.0,D,HD,118.0,3,2.2,1,313.0
D,Y,5302759.515700001,4,150396.49339386157,158.0,D,HD,565.0,1,5.2,2,565.0
D,Y,5302759.515700001,5,182474.850285524,307.0,D,HD,3824.0,1,36.4,1,1090.0
C,Y,4918759.585999998,3,135085.90372793935,799.0,P,HD,1297.0,3,H.2,2,2321.0
A,Y,5302759.515700001,5,154371.06043727396,209.5,D,ATS,4009.000000000001,1,37.1,5,172.0
A,X,5302759.515700001,5,179716.48581562395,364.0,D,ATS,996.0,3,F.1,4,504.0
D,X,4366070.964799999,4,121258.27697505803,120.0,Q,HD,222.00000000000003,1,1.1,3,11.0
C,Y,5302759.515700001,5,181443.1485164239,158.0,D,ATS,3824.0,1,36.2,1,565.0
D,X,4918759.585999998,6,157936.39674564623,224.0,P,ATS,1094.0,1,9.3,4,2154.0
A,Y,5302759.515700001,4,149225.4125598616,194.5,D,HD,2788.0,1,28.1,2,547.0
D,Y,5302759.515700001,5,179227.76251852393,190.0,D,ATS,2757.0,1,27.1,2,1215.0
C,Y,5302759.515700001,4,150396.49339386157,194.5,D,HD,1601.0000000000002,1,13.1,1,763.0
C,X,5302759.515700001,4,150119.69246946156,120.0,D,HD,1941.0,1,B.3,2,56.00000000000001
B,Y,4366070.964799999,4,122341.65041895804,172.0,Q,HD,1291.0,3,H.3,2,1833.0
C,Y,4366070.964799999,3,124093.52735655804,289.0,Q,HD,525.0,3,C.2,1,1906.0
B,Y,4918759.585999998,3,123890.88263498934,200.0,P,HD,1409.0,1,I.2,3,1249.0
C,Y,5302759.515700001,5,181664.94363082395,194.5,D,HD,4036.0,1,38.2,1,763.0
